sy_name,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens
"HD 216520",,,,,,,
"Ross 458",0.49,,,-1.222,,,
"HD 152079",,,,,,,
"HD 15906",0.79,0.020,"[Fe/H]",-0.569,4.49,,2.5832
"Kepler-112",0.77,-0.560,"[Fe/H]",,4.36,,1.7551
"Kepler-1641",,,,,,,
"Kepler-952",,0.109,"[Fe/H]",,4.47,,
"Kepler-219",,,,,4.27,,
"BD+48 738",,-0.237,"[M/H]",,,,
"Kepler-1132",,,,,,,
"Kepler-646",1.00,,,,4.60,,
"Kepler-1209",1.15,,,,4.29,,
"HD 222155",,,,,,,
"Kepler-889",,,,,,,
"Kepler-1848",0.77,,,-0.513,4.51,,2.0366
"HD 196050",,,,,,,
"Kepler-520",,,,,,,
"Kepler-62",,,,,,,
"HD 22532",1.57,-0.190,"[Fe/H]",1.274,3.09,,
"HD 106906",1.50,,,0.750,,0.013,
"Kepler-107",1.14,0.270,"[Fe/H]",,4.19,,0.1403
"Kepler-815",1.34,-0.030,"[Fe/H]",,3.46,,0.1209
"Kepler-816",,,,,4.62,,
"Kepler-973",,,,,,,
"Kepler-1078",0.87,-0.360,"[Fe/H]",,4.59,,0.0399
"TOI-1194",0.92,,,-0.147,4.41,,1.3231
"TOI-2152",,,,,4.11,,
"Kepler-1002",1.21,0.040,"[Fe/H]",,4.13,,0.5337
"HD 116029",,,,,,,
"Kepler-1992",0.82,-0.120,"[Fe/H]",,4.40,,2.0632
"Kepler-365",1.03,-0.040,"[Fe/H]",,4.43,,1.6320
"Kepler-1681",,-0.590,"[Fe/H]",,4.54,,
"OGLE-2018-BLG-1011L",0.18,,,,,,
"Kepler-741",1.16,0.070,"[Fe/H]",,4.31,3.160,
"MOA-2013-BLG-220L",0.77,,,,,,
"Kepler-981",1.00,0.137,"[M/H]",-0.081,4.48,,1.6134
