pl_name,discoverymethod,disc_year,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_eqt
"Kepler-1606 b","Transit",2016,"0.95 m Kepler Telescope",196.43522400,0.642100,2.070,0.185,4.94000,0.01550,3.060000,3.24000000000e+02
"Kepler-1429 b","Transit",2016,"0.95 m Kepler Telescope",4.48487493,0.055000,1.290,0.115,2.21000,0.00696,5.660000,1.19900000000e+03
"Kepler-606 b","Transit",2016,"0.95 m Kepler Telescope",24.31575992,0.170000,3.310,0.295,11.00000,0.03450,1.670000,6.83000000000e+02
"Kepler-1593 b","Transit",2016,"0.95 m Kepler Telescope",174.50983500,0.546000,3.170,0.283,10.20000,0.03200,1.760000,2.60000000000e+02
"Kepler-733 b","Transit",2016,"0.95 m Kepler Telescope",20.83424726,0.148300,2.820,0.252,8.35000,0.02630,2.050000,5.95000000000e+02
"Kepler-1641 b","Transit",2016,"0.95 m Kepler Telescope",19.67226600,0.147300,3.110,0.277,9.85000,0.03100,1.800000,9.08000000000e+02
"Kepler-212 b","Transit",2014,"0.95 m Kepler Telescope",16.25758200,0.133000,1.090,0.097,1.32000,0.00416,5.600000,8.30000000000e+02
"Kepler-221 e","Transit",2014,"0.95 m Kepler Telescope",18.36991700,0.130000,2.630,0.235,7.41000,0.02330,2.240000,5.82000000000e+02
"Kepler-1641 c","Transit",2016,"0.95 m Kepler Telescope",32.65721200,0.206500,2.950,0.263,9.01000,0.02830,1.930000,7.67000000000e+02
"Kepler-189 c","Transit",2014,"0.95 m Kepler Telescope",20.13486600,0.137000,2.380,0.212,22.70000,0.07100,9.250000,5.44000000000e+02
"Kepler-160 b","Transit",2014,"0.95 m Kepler Telescope",4.30939700,0.055110,1.715,0.153,3.59000,0.01130,3.910000,1.13400000000e+03
"Kepler-572 b","Transit",2016,"0.95 m Kepler Telescope",17.20523483,0.119200,2.580,0.230,7.18000,0.02260,2.300000,5.53000000000e+02
"Kepler-223 d","Transit",2014,"0.95 m Kepler Telescope",14.78869000,0.120100,5.240,0.467,8.00000,0.02517,0.310000,8.27000000000e+02
"Kepler-646 b","Transit",2016,"0.95 m Kepler Telescope",15.87364565,0.114900,1.990,0.178,4.62000,0.01450,3.220000,6.32000000000e+02
"Kepler-208 b","Transit",2014,"0.95 m Kepler Telescope",4.22864000,0.054000,1.630,0.145,3.29000,0.01040,4.170000,1.37900000000e+03
"Kepler-161 b","Transit",2014,"0.95 m Kepler Telescope",4.92135500,0.054000,2.120,0.189,12.10000,0.03800,6.980000,8.68000000000e+02
"Kepler-1587 b","Transit",2016,"0.95 m Kepler Telescope",9.40604670,0.087800,1.330,0.119,2.33000,0.00733,5.440000,9.81000000000e+02
"Kepler-1588 b","Transit",2016,"0.95 m Kepler Telescope",7.84931739,0.072600,0.760,0.068,0.36300,0.00114,4.540000,9.25000000000e+02
"Kepler-1589 b","Transit",2016,"0.95 m Kepler Telescope",0.99166527,0.020500,1.090,0.097,1.32000,0.00416,5.600000,2.10200000000e+03
"Kepler-1613 b","Transit",2016,"0.95 m Kepler Telescope",1.51842990,0.026400,2.080,0.186,4.98000,0.01570,3.040000,1.92600000000e+03
"Kepler-767 b","Transit",2016,"0.95 m Kepler Telescope",161.52801010,0.587400,6.640,0.592,35.70000,0.11200,0.670000,3.66000000000e+02
"Kepler-229 b","Transit",2014,"0.95 m Kepler Telescope",6.25297200,0.062000,2.200,0.196,5.48000,0.01720,2.830000,8.23000000000e+02
"Kepler-573 b","Transit",2016,"0.95 m Kepler Telescope",22.18329658,0.148600,2.790,0.249,8.20000,0.02580,2.070000,6.46000000000e+02
"Kepler-208 d","Transit",2014,"0.95 m Kepler Telescope",11.13178600,0.103000,1.200,0.107,1.87000,0.00588,5.950000,9.99000000000e+02
"Kepler-161 c","Transit",2014,"0.95 m Kepler Telescope",7.06424000,0.068000,2.050,0.183,11.80000,0.03700,7.530000,7.69000000000e+02
"Kepler-216 b","Transit",2014,"0.95 m Kepler Telescope",7.69364100,0.079000,2.350,0.210,6.12000,0.01930,2.590000,1.06900000000e+03
"Kepler-1611 b","Transit",2016,"0.95 m Kepler Telescope",5.17624290,0.058600,0.810,0.072,0.45700,0.00144,4.730000,1.24300000000e+03
"Kepler-1618 b","Transit",2016,"0.95 m Kepler Telescope",6.10826019,0.070600,1.260,0.112,2.13000,0.00669,5.850000,1.26700000000e+03
"Kepler-1614 b","Transit",2016,"0.95 m Kepler Telescope",3.94661410,0.047100,1.490,0.133,2.83000,0.00889,4.700000,9.81000000000e+02
"Kepler-1612 b","Transit",2016,"0.95 m Kepler Telescope",3.91795101,0.048200,1.030,0.092,1.08000,0.00340,5.430000,1.03000000000e+03
"Kepler-1631 b","Transit",2016,"0.95 m Kepler Telescope",4.09513932,0.051100,1.350,0.120,2.39000,0.00752,5.340000,1.12200000000e+03
"Kepler-1615 b","Transit",2016,"0.95 m Kepler Telescope",47.31261920,0.278800,2.060,0.184,4.90000,0.01540,3.080000,6.58000000000e+02
